ID	POP	EUR	EAS	AMR	SAS	AFR	tissue
TCGA-06-1084	EUR	0.978751	0.00281	1e-05	1e-05	0.01842	Blood Derived Normal
TCGA-06-1086	EUR	0.972327	1e-05	0.006687	1e-05	0.020966	Blood Derived Normal
TCGA-06-1087	EUR	0.989114	1e-05	0.010548	1e-05	0.000318	Blood Derived Normal
TCGA-06-1800	EUR	0.988924	0.006588	1e-05	2.3e-05	0.004456	Blood Derived Normal
TCGA-06-1801	EUR	0.831651	1e-05	1e-05	0.099741	0.068589	Blood Derived Normal
TCGA-06-1802	EUR	0.944028	0.002653	0.002978	0.049281	0.00106	Blood Derived Normal
TCGA-06-1804	AFR	0.370532	1e-05	0.018441	1e-05	0.611007	Blood Derived Normal
TCGA-06-1805	EUR	0.993745	1e-05	1e-05	0.005364	0.000871	Blood Derived Normal
TCGA-06-1806	EUR	0.970563	1e-05	0.004792	0.024235	4e-04	Blood Derived Normal
TCGA-06-2557	AFR	0.317487	0.001509	0.012287	1e-05	0.668706	Blood Derived Normal
TCGA-06-2558	EUR	0.982051	1e-05	0.010813	1e-05	0.007116	Blood Derived Normal
TCGA-06-2559	EUR	0.621007	0.012132	0.016359	0.341526	0.008977	Blood Derived Normal
TCGA-06-2561	EAS	0.016035	0.906478	1e-05	0.074579	0.002899	Blood Derived Normal
TCGA-06-2562	SAS	0.08033	0.397892	0.023516	0.490578	0.007684	Blood Derived Normal
TCGA-06-2563	EUR	0.992928	0.003067	1e-05	0.003985	1e-05	Blood Derived Normal
TCGA-06-2564	EUR	0.978297	0.003965	1e-05	0.017719	1e-05	Blood Derived Normal
TCGA-06-2565	SAS	0.315975	1e-05	1e-05	0.683995	1e-05	Blood Derived Normal
TCGA-06-2566	EUR	0.99983	1e-05	1e-05	0.00014	1e-05	Blood Derived Normal
TCGA-06-2567	EUR	0.966771	0.00992	0.02017	1e-05	0.003129	Blood Derived Normal
TCGA-06-2569	EUR	0.851962	0.000966	1e-05	0.116712	0.03035	Blood Derived Normal
TCGA-06-2570	EUR	0.934486	1e-05	0.001231	0.058621	0.005652	Blood Derived Normal
TCGA-06-5408	AFR	0.115314	1e-05	0.044624	1e-05	0.840042	Blood Derived Normal
TCGA-06-5410	EUR	0.983273	0.001694	1e-05	0.008094	0.006929	Blood Derived Normal
TCGA-06-5411	EUR	0.991079	1e-05	1e-05	0.000502	0.008399	Blood Derived Normal
TCGA-06-5412	EUR	0.847459	0.006272	1e-05	0.099221	0.047038	Blood Derived Normal
TCGA-06-5413	EUR	0.994039	1e-05	0.003212	0.002523	0.000217	Blood Derived Normal
TCGA-06-5414	EUR	0.942181	0.011585	0.013897	1e-05	0.032326	Blood Derived Normal
TCGA-06-5415	EUR	0.974483	0.012863	1e-05	0.012634	1e-05	Blood Derived Normal
TCGA-06-5416	EUR	0.995658	1e-05	1e-05	0.004312	1e-05	Blood Derived Normal
TCGA-06-5417	EUR	0.76872	0.030054	0.007613	0.024938	0.168676	Blood Derived Normal
TCGA-06-5418	EUR	0.613765	1e-05	1e-05	0.37715	0.009065	Blood Derived Normal
TCGA-06-5856	EUR	0.954098	0.013704	0.004517	1e-05	0.027672	Blood Derived Normal
TCGA-06-5858	AFR	0.200713	0.008395	1e-05	1e-05	0.790872	Blood Derived Normal
TCGA-06-5859	EUR	0.778857	1e-05	1e-05	0.216695	0.004428	Blood Derived Normal
TCGA-06-6388	EUR	0.979202	0.020768	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-06-6389	EUR	0.99996	1e-05	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-06-6390	EUR	0.91797	0.023394	0.019255	0.025262	0.014119	Blood Derived Normal
TCGA-06-6391	EUR	0.873922	1e-05	0.00036	0.119527	0.006182	Blood Derived Normal
TCGA-06-6693	EUR	0.964632	0.010227	1e-05	0.022777	0.002353	Blood Derived Normal
